spec ID, x, y
2187,-4.737457675432064,-5.471759111810207
2077,-4.246582248745428,-5.0938067462992365
2234,-4.29208038024913,-5.393676204378789
2264,-4.466915248160879,-5.404817143646135
2300,-3.6009566834043665,-0.8510447383931142
2311,-0.6094155432915479,-8.510108276870822
723,-5.114351499996881,0.6132674863792035
2315,-6.141080909538806,-3.1728527103495514
2360,-8.795918613320318,-2.8672541033021
2344,-8.785320618979162,-2.8609504796569207
2343,-8.799734023821879,-2.8675214660086294
2345,-8.782362411677102,-2.8902486484274617
2353,-8.793215803880365,-2.8812011122013694
2359,-8.822402402154202,-2.886396913479214
2382,-8.807624749691431,-2.897744930652336
2372,-8.80801656658665,-2.91240122998253
2446,-8.910901495292736,-2.9068772011444968
2488,0.4573363566449373,-8.151785300078796
2512,0.8016994174603941,-6.051186139434852
2494,0.7807103698086779,-6.086786750100203
2513,0.7945500315978905,-6.04609160776365
2511,0.7915901381495346,-6.072066613127104
2497,0.7900879573955083,-6.068475445999704
2526,0.8012548125846032,-6.0318012284796465
2519,0.49476960490848976,-6.350791638985162
2538,-8.851479591163875,-2.699172533380895
2559,-8.659756482555423,-3.0983813101887905
2580,7.050074291947394,-3.8293525065204777
2590,-7.889373599673816,1.3691525262564164
2618,-8.043256315183243,1.941557818046878
2637,-5.8743909169906665,1.7727490411102815
2624,-8.661386158312734,-2.5479906341792953
2620,-8.029737425583074,-2.1308665021019606
2640,-7.184894890030343,4.991754583921322
2641,-6.610721475815722,4.769313541505696
2556,-7.445504199614469,-3.0284794533580386
2670,-7.256712145522163,-3.0562546881133246
2671,-7.978395619235339,1.2565959542537595
2599,-8.19878669495507,1.7263708424029944
2717,-6.255373942335827,-3.6668647086692716
2763,-5.465616319024724,-0.21497768075769658
2767,-5.4299441764042635,-0.1979885172673616
2771,-6.427464196536005,-1.8961761424348762
2772,-4.153519534878774,1.5187963628427106
2776,-7.7836309037860065,1.472267940099459
2575,-8.422551998535335,1.8940980428020058
2779,-4.422706320904749,1.4765665117363436
2778,-4.044848969417166,1.5017767605090457
2810,-3.423249784528317,-4.159364163015259
2805,-3.3981457622297855,-4.1648458666969965
2806,-3.5431954922289566,-4.010674608062775
2853,-8.196742278854845,2.0599505779165366
2859,-8.275585289947545,1.6331812114165596
2845,-8.446146368820168,2.0379024148945697
2938,-6.055729769487909,-4.4526180537786155
2948,-6.135208221437871,-4.407233605285393
2983,-8.718217907493507,-2.161326070947434
3038,-4.3154656079080285,1.4045236822007159
2780,-3.8522000249017165,1.627169517196381
2824,-4.47907889281907,-5.904276104284681
2755,-4.9547059406560345,-6.148862838739771
2838,-5.732827219410325,-5.520168347964161
2750,-6.130110859439845,-4.3086717091806745
3020,-7.614050134614559,8.319421411657752
2955,-3.23948810184893,-5.4891885480240745
3054,-5.800477930300775,-6.126664008854556
3063,-5.163413660967288,-5.575079396680586
3051,-4.219965824502796,-6.329146907493577
3185,-5.352191137548076,-2.7801549478423953
3209,-6.3388336997852965,-5.870121361453729
3212,-8.82573907684249,-2.926062693401765
3317,-3.7096954433633633,-5.345781095994829
3339,-0.3280539499167964,-7.3593097638314395
3337,-0.3142800792961976,-7.314892439559097
3341,-0.4694218862118198,-7.248830759426984
3344,-5.743076461584426,-2.191368715817273
3369,-5.206445169254885,-6.001578453543218
2909,-5.049808752132927,-6.113753879723606
3372,-5.592175792449974,-5.676238778487835
3385,-3.486721926485593,-7.098337202818032
3091,-2.872932978904174,-6.89214309067956
2919,-8.51951423542246,-3.3116406485069705
3327,-5.678967623273343,-5.628230775386006
2839,-5.7686039091681565,-3.45476643465251
3446,-5.500873765720919,-3.1588268529774077
3426,-5.968777747307802,-4.231369603955641
